Date,Shop_ID,Shop_Name,City,Product_ID,Product_Name,Category,Supplier_Name,Quantity_Stocked,Quantity_Sold,Price_per_Unit (₹),Revenue (₹),Wastage_Units,Storage_Type,Feedback_Score
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,30,14,38.0,532.0,16,Ambient,3
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,50,44,240.0,10560.0,6,Ice Box,3
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,25,14,72.0,1008.0,11,Refrigerated,3
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,32,24,25.0,600.0,8,Ambient,3
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,21,8,35.0,280.0,13,Ambient,2
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,20,14,420.0,5880.0,6,Ambient,3
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,64,46,155.0,7130.0,18,Ambient,4
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,59,51,20.0,1020.0,8,Ambient,4
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,27,21,40.0,840.0,6,Refrigerated,4
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,19,11,42.0,462.0,8,Refrigerated,3
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,15,10,38.0,380.0,5,Ambient,2
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,24,18,240.0,4320.0,6,Ice Box,4
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,18,7,72.0,504.0,11,Refrigerated,3
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,33,21,25.0,525.0,12,Ambient,3
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,17,13,35.0,455.0,4,Ambient,4
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,21,17,420.0,7140.0,4,Ambient,4
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,64,59,155.0,9145.0,5,Ambient,4
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,65,62,20.0,1240.0,3,Ambient,5
2024-01-04,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,70,60,40.0,2400.0,10,Refrigerated,4
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,48,33,42.0,1386.0,15,Refrigerated,2
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,30,22,38.0,836.0,8,Ambient,3
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,19,16,240.0,3840.0,3,Ice Box,3
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,41,41,72.0,2952.0,0,Refrigerated,4
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,35,35,25.0,875.0,0,Ambient,5
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,33,20,35.0,700.0,13,Ambient,3
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,67,54,420.0,22680.0,13,Ambient,4
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,46,44,155.0,6820.0,2,Ambient,5
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,36,27,20.0,540.0,9,Ambient,3
2024-01-05,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,29,26,40.0,1040.0,3,Refrigerated,3
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,18,7,42.0,294.0,11,Refrigerated,3
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,43,21,38.0,798.0,22,Ambient,2
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,46,39,240.0,9360.0,7,Ice Box,4
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,30,23,72.0,1656.0,7,Refrigerated,3
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,21,11,25.0,275.0,10,Ambient,2
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,38,16,35.0,560.0,22,Ambient,2
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,54,52,420.0,21840.0,2,Ambient,4
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,33,27,155.0,4185.0,6,Ambient,4
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,54,54,20.0,1080.0,0,Ambient,5
2024-01-06,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,23,19,40.0,760.0,4,Refrigerated,3
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,32,25,42.0,1050.0,7,Refrigerated,3
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,41,37,38.0,1406.0,4,Ambient,5
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,22,10,240.0,2400.0,12,Ice Box,2
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,24,22,72.0,1584.0,2,Refrigerated,5
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,17,8,25.0,200.0,9,Ambient,2
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,39,20,35.0,700.0,19,Ambient,2
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,29,27,420.0,11340.0,2,Ambient,4
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,53,38,155.0,5890.0,15,Ambient,4
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,40,34,20.0,680.0,6,Ambient,3
2024-01-07,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,23,19,40.0,760.0,4,Refrigerated,4
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,30,30,42.0,1260.0,0,Refrigerated,4
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,41,35,38.0,1330.0,6,Ambient,4
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,43,17,240.0,4080.0,26,Ice Box,2
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,28,13,72.0,936.0,15,Refrigerated,2
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,40,16,25.0,400.0,24,Ambient,3
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,17,9,35.0,315.0,8,Ambient,2
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,38,26,420.0,10920.0,12,Ambient,2
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,41,28,155.0,4340.0,13,Ambient,3
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,27,26,20.0,520.0,1,Ambient,4
2024-01-08,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,69,69,40.0,2760.0,0,Refrigerated,5
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,16,7,42.0,294.0,9,Refrigerated,2
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,33,25,38.0,950.0,8,Ambient,4
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,50,24,240.0,5760.0,26,Ice Box,2
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,18,13,72.0,936.0,5,Refrigerated,4
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,38,30,25.0,750.0,8,Ambient,4
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,15,15,35.0,525.0,0,Ambient,5
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,38,30,420.0,12600.0,8,Ambient,3
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,61,57,155.0,8835.0,4,Ambient,4
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,54,53,20.0,1060.0,1,Ambient,5
2024-01-09,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,41,31,40.0,1240.0,10,Refrigerated,4
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,21,8,42.0,336.0,13,Refrigerated,3
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,35,31,38.0,1178.0,4,Ambient,4
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,37,16,240.0,3840.0,21,Ice Box,2
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,34,30,72.0,2160.0,4,Refrigerated,3
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,40,23,25.0,575.0,17,Ambient,3
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,31,14,35.0,490.0,17,Ambient,3
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,45,45,420.0,18900.0,0,Ambient,5
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,42,30,155.0,4650.0,12,Ambient,3
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,49,48,20.0,960.0,1,Ambient,5
2024-01-10,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,60,60,40.0,2400.0,0,Refrigerated,5
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,16,11,42.0,462.0,5,Refrigerated,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,45,19,38.0,722.0,26,Ambient,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,38,16,240.0,3840.0,22,Ice Box,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,31,13,72.0,936.0,18,Refrigerated,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,17,8,25.0,200.0,9,Ambient,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,19,13,35.0,455.0,6,Ambient,2
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,20,19,420.0,7980.0,1,Ambient,4
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,38,33,155.0,5115.0,5,Ambient,4
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,26,22,20.0,440.0,4,Ambient,3
2024-01-11,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,24,22,40.0,880.0,2,Refrigerated,4
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,38,38,42.0,1596.0,0,Refrigerated,5
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,49,26,38.0,988.0,23,Ambient,3
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,33,21,240.0,5040.0,12,Ice Box,2
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,40,37,72.0,2664.0,3,Refrigerated,5
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,23,13,25.0,325.0,10,Ambient,3
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,24,17,35.0,595.0,7,Ambient,3
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,55,40,420.0,16800.0,15,Ambient,4
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,66,61,155.0,9455.0,5,Ambient,4
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,57,44,20.0,880.0,13,Ambient,4
2024-01-12,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,66,50,40.0,2000.0,16,Refrigerated,4
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,31,24,42.0,1008.0,7,Refrigerated,4
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,50,50,38.0,1900.0,0,Ambient,5
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,27,14,240.0,3360.0,13,Ice Box,3
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,33,17,72.0,1224.0,16,Refrigerated,3
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,30,30,25.0,750.0,0,Ambient,5
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,38,38,35.0,1330.0,0,Ambient,5
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,65,59,420.0,24780.0,6,Ambient,4
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,51,46,155.0,7130.0,5,Ambient,5
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,69,54,20.0,1080.0,15,Ambient,4
2024-01-13,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,20,17,40.0,680.0,3,Refrigerated,3
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,37,26,42.0,1092.0,11,Refrigerated,3
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,18,7,38.0,266.0,11,Ambient,2
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,50,20,240.0,4800.0,30,Ice Box,2
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,25,24,72.0,1728.0,1,Refrigerated,4
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,27,27,25.0,675.0,0,Ambient,4
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,37,34,35.0,1190.0,3,Ambient,4
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,70,50,420.0,21000.0,20,Ambient,3
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,31,28,155.0,4340.0,3,Ambient,4
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,28,24,20.0,480.0,4,Ambient,4
2024-01-14,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,20,18,40.0,720.0,2,Refrigerated,5
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,17,15,42.0,630.0,2,Refrigerated,4
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,28,23,38.0,874.0,5,Ambient,4
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,17,8,240.0,1920.0,9,Ice Box,2
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,37,37,72.0,2664.0,0,Refrigerated,5
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,41,31,25.0,775.0,10,Ambient,4
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,25,22,35.0,770.0,3,Ambient,3
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,24,18,420.0,7560.0,6,Ambient,3
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,24,16,155.0,2480.0,8,Ambient,2
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,27,26,20.0,520.0,1,Ambient,4
2024-01-15,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,42,38,40.0,1520.0,4,Refrigerated,5
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,48,45,42.0,1890.0,3,Refrigerated,5
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,20,10,38.0,380.0,10,Ambient,3
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,47,45,240.0,10800.0,2,Ice Box,5
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,40,39,72.0,2808.0,1,Refrigerated,4
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,16,8,25.0,200.0,8,Ambient,3
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,47,25,35.0,875.0,22,Ambient,2
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,53,44,420.0,18480.0,9,Ambient,3
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,29,27,155.0,4185.0,2,Ambient,5
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,65,48,20.0,960.0,17,Ambient,4
2024-01-16,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,63,51,40.0,2040.0,12,Refrigerated,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,27,22,42.0,924.0,5,Refrigerated,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,26,12,38.0,456.0,14,Ambient,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,46,45,240.0,10800.0,1,Ice Box,5
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,18,13,72.0,936.0,5,Refrigerated,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,45,27,25.0,675.0,18,Ambient,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,23,22,35.0,770.0,1,Ambient,5
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,49,39,420.0,16380.0,10,Ambient,4
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,65,46,155.0,7130.0,19,Ambient,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,22,16,20.0,320.0,6,Ambient,3
2024-01-17,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,66,58,40.0,2320.0,8,Refrigerated,4
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,27,20,42.0,840.0,7,Refrigerated,4
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,21,16,38.0,608.0,5,Ambient,4
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,26,24,240.0,5760.0,2,Ice Box,4
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,32,12,72.0,864.0,20,Refrigerated,3
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,28,17,25.0,425.0,11,Ambient,2
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,17,9,35.0,315.0,8,Ambient,3
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,32,25,420.0,10500.0,7,Ambient,3
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,55,46,155.0,7130.0,9,Ambient,4
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,58,47,20.0,940.0,11,Ambient,3
2024-01-18,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,39,29,40.0,1160.0,10,Refrigerated,3
2024-01-19,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,48,20,42.0,840.0,28,Refrigerated,3
